baseMean log2FoldChange lfcSE stat pvalue padj
YBR171W 62.1092461337143 -0.817839701168884 0.233707979492614 -3.48921754786454 0.000484436718469947 0.00319320287479875
YBR177C 178.999649748487 -0.453385693515743 0.13699863129614 -3.30795333930433 0.000939804667312059 0.00578668321210238
YBR181C 1182.72308239989 0.50939118022908 0.0546237167810855 9.32572742709424 1.10224870029167e-20 2.69620365672908e-19
YBR183W 79.2029973290688 -0.732918176385776 0.207114533340356 -3.53185205754234 0.000412660152020844 0.00279662107354386
YBR187W 166.433699660626 0.418179120223489 0.139176858482976 3.00522969833116 0.00265380354712645 0.0142035194975263
YBR189W 1380.78819503523 0.546062584153454 0.0501403027905349 10.8909669020867 1.272816747898e-27 3.81357821786473e-26
YBR191W 1131.63668788242 0.36763872036754 0.0549304480849677 6.69298180090532 2.18668343701986e-11 3.40622181159661e-10
YBR196C 2508.39668739554 1.05237489770502 0.0384842589794134 27.3457451846772 1.21334409857645e-164 2.45095507912442e-162
YBR203W 113.078977568105 -0.677852032071786 0.173858139131007 -3.89409141415972 9.85674767275512e-05 0.000766744769276926
YBR207W 154.959510856991 -0.56455860744253 0.144907509721128 -3.89325433810825 9.89083582702887e-05 0.000768441860407627
YBR212W 349.287301856052 -0.488462880233913 0.0974136502508801 -5.01303201634369 5.35789775802717e-07 5.94878648240534e-06
YBR214W 368.636936187833 0.257038769303818 0.0934651289741087 2.75028223731299 0.00595439537639877 0.0279508424640248
YBR218C 546.506555435696 1.16371495508991 0.0781495179276946 14.8909261276221 3.77503910604126e-50 1.86136180173468e-48
